Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1,0.345,1.0,3
2,0.151,0.33,2
3,0.151,0.17,1
4,0.503,1.0,3
5,0.381,1.0,3
6,0.212,1.0,3
7,0.152,0.17,1
8,0.152,0.33,2
9,0.341,1.0,3
10,0.157,0.33,2
11,0.155,0.17,1
12,0.493,1.0,3
13,0.142,1.0,3
14,0.093,1.0,3
15,0.159,0.33,2
16,0.158,0.17,1
17,0.203,1.0,3
18,0.062,1.0,1
19,0.061,1.0,1
20,0.035,1.0,1
21,0.14,1.0,3
22,0.151,0.33,2
23,0.151,0.17,1
24,0.511,1.0,3
25,0.381,1.0,3
26,0.212,1.0,3
27,0.152,0.17,1
28,0.152,0.33,2
29,0.365,1.0,3
30,0.157,0.33,2
31,0.155,0.17,1
32,0.524,1.0,3
33,0.28,1.0,3
34,0.117,1.0,3
35,0.159,0.33,2
36,0.158,0.17,1
37,0.039,1.0,1
38,0.102,1.0,1
39,0.102,1.0,1
40,0.192,1.0,1
41,0.188,0.33,1
42,0.179,0.36,1
43,0.187,1.0,1
44,0.14,1.0,1
45,0.138,0.36,1
46,0.118,0.36,1
47,0.119,1.0,1
48,0.36,0.33,1
49,0.365,1.0,1
50,0.345,1.0,3
51,0.151,0.33,2
52,0.151,0.17,1
53,0.503,1.0,3
54,0.177,1.0,3
55,0.231,1.0,3
56,0.152,0.17,1
57,0.152,0.33,2
58,0.341,1.0,3
59,0.157,0.33,2
60,0.155,0.17,1
61,0.493,1.0,3
62,0.062,1.0,3
63,0.046,1.0,3
64,0.159,0.33,2
65,0.158,0.17,1
66,0.203,1.0,3
67,0.062,1.0,1
68,0.061,1.0,1
69,0.201,1.0,1
70,0.14,1.0,3
71,0.151,0.33,2
72,0.151,0.17,1
73,0.511,1.0,3
74,0.382,1.0,3
75,0.217,1.0,3
76,0.152,0.17,1
77,0.152,0.33,2
78,0.11,1.0,3
79,0.157,0.33,2
80,0.155,0.17,1
81,0.224,1.0,3
82,0.083,1.0,3
83,0.033,1.0,3
84,0.159,0.33,2
85,0.158,0.17,1
86,0.207,1.0,1
87,0.043,1.0,1
88,0.042,1.0,1
89,0.11,0.67,3
90,0.211,0.67,3
91,0.355,1.0,1
92,0.343,1.0,1
93,0.086,0.36,1
94,0.114,1.0,1
95,0.086,1.0,1
96,0.113,1.0,1
97,0.037,1.0,1
98,0.037,1.0,1
99,0.044,1.0,1
100,0.044,1.0,1
137,0.349,1.0,3
138,0.151,0.33,2
139,0.151,0.17,1
140,0.503,1.0,3
141,0.381,1.0,3
142,0.212,1.0,3
143,0.152,0.17,1
144,0.152,0.33,2
145,0.341,1.0,3
146,0.157,0.33,2
147,0.155,0.17,1
148,0.493,1.0,3
149,0.142,1.0,3
150,0.093,1.0,3
151,0.159,0.33,2
152,0.158,0.17,1
153,0.203,1.0,3
154,0.062,1.0,1
155,0.061,1.0,1
156,0.035,1.0,1
157,0.14,1.0,3
158,0.151,0.33,2
159,0.151,0.17,1
160,0.511,1.0,3
161,0.381,1.0,3
162,0.212,1.0,3
163,0.152,0.17,1
164,0.152,0.33,2
165,0.346,1.0,3
166,0.157,0.33,2
167,0.155,0.17,1
168,0.503,1.0,3
169,0.28,1.0,3
170,0.117,1.0,3
171,0.159,0.33,2
172,0.158,0.17,1
173,0.039,1.0,1
174,0.102,1.0,1
175,0.102,1.0,1
176,0.192,1.0,1
177,0.188,0.33,1
178,0.179,0.5,1
179,0.187,1.0,1
180,0.14,1.0,1
181,0.138,0.5,1
182,0.118,0.5,1
183,0.119,1.0,1
184,0.36,0.33,1
185,0.365,1.0,1
186,0.095,1.0,3
187,0.151,0.33,2
188,0.151,0.17,1
189,0.238,1.0,3
190,0.177,1.0,3
191,0.231,1.0,3
192,0.152,0.17,1
193,0.152,0.33,2
194,0.341,1.0,3
195,0.157,0.33,2
196,0.155,0.17,1
197,0.493,1.0,3
198,0.058,1.0,3
199,0.048,1.0,3
200,0.159,0.33,2
201,0.158,0.17,1
202,0.203,1.0,3
203,0.062,1.0,1
204,0.061,1.0,1
205,0.201,1.0,1
206,0.14,1.0,3
207,0.151,0.33,2
208,0.151,0.17,1
209,0.511,1.0,3
210,0.382,1.0,3
211,0.217,1.0,3
212,0.152,0.17,1
213,0.152,0.33,2
214,0.346,1.0,3
215,0.157,0.33,2
216,0.155,0.17,1
217,0.503,1.0,3
218,0.08,1.0,3
219,0.041,1.0,3
220,0.159,0.33,2
221,0.156,0.17,1
222,0.207,1.0,1
223,0.06,1.0,1
224,0.06,1.0,1
225,0.11,0.67,3
226,0.211,0.67,3
227,0.188,1.0,1
228,0.031,1.0,1
229,0.086,0.5,1
230,0.114,1.0,1
231,0.086,1.0,1
232,0.113,1.0,1
300,0.015,1.0,3
301,0.151,0.33,2
302,0.151,0.17,1
303,0.283,1.0,3
304,0.306,1.0,2
305,0.143,1.0,2
306,0.152,0.17,1
307,0.152,0.33,1
308,0.043,1.0,3
309,0.157,0.33,2
310,0.155,0.17,1
311,0.199,1.0,3
312,0.221,1.0,2
313,0.138,1.0,2
314,0.159,0.33,1
315,0.158,0.17,1
316,0.148,1.0,3
317,0.062,1.0,1
318,0.061,1.0,1
427,0.03,1.0,2
428,0.06,0.27,1
429,0.128,1.0,2
430,0.062,0.27,1
703,0.061,0.36,1
704,0.095,1.0,2
705,0.198,1.0,2
706,0.068,0.36,1
707,0.261,0.36,1
708,0.264,1.0,1
754,0.072,0.36,1
756,0.22,1.0,1
794,0.345,1.0,3
795,0.151,0.33,2
796,0.151,0.17,1
797,0.503,1.0,3
798,0.13,1.0,3
799,0.151,1.0,3
800,0.152,0.17,1
801,0.152,0.33,2
802,0.341,1.0,3
803,0.157,0.33,2
804,0.155,0.17,1
805,0.493,1.0,3
806,0.142,1.0,3
807,0.093,1.0,3
808,0.159,0.33,2
809,0.158,0.17,1
810,0.203,1.0,3
811,0.062,1.0,1
812,0.061,1.0,1
813,0.035,1.0,1
814,0.14,1.0,3
815,0.151,0.33,2
816,0.151,0.17,1
817,0.511,1.0,3
818,0.103,1.0,3
819,0.081,1.0,3
820,0.152,0.17,1
821,0.152,0.33,2
822,0.365,1.0,3
823,0.157,0.33,2
824,0.155,0.17,1
825,0.524,1.0,3
826,0.28,1.0,3
827,0.117,1.0,3
828,0.159,0.33,2
829,0.158,0.17,1
830,0.039,1.0,1
831,0.102,1.0,1
832,0.102,1.0,1
833,0.192,1.0,1
834,0.188,0.33,1
835,0.179,0.5,1
836,0.187,1.0,1
837,0.14,1.0,1
838,0.138,0.5,1
839,0.118,0.5,1
840,0.119,1.0,1
841,0.36,0.33,1
842,0.365,1.0,1
843,0.345,1.0,3
844,0.151,0.33,2
845,0.151,0.17,1
846,0.503,1.0,3
847,0.177,1.0,3
848,0.231,1.0,3
849,0.152,0.17,1
850,0.152,0.33,2
851,0.341,1.0,3
852,0.157,0.33,2
853,0.155,0.17,1
854,0.493,1.0,3
855,0.512,1.0,3
856,0.348,1.0,3
857,0.159,0.33,2
858,0.158,0.17,1
859,0.203,1.0,3
860,0.062,1.0,1
861,0.061,1.0,1
862,0.201,1.0,1
863,0.14,1.0,3
864,0.151,0.33,2
865,0.151,0.17,1
866,0.511,1.0,3
867,0.382,1.0,3
868,0.217,1.0,3
869,0.152,0.17,1
870,0.152,0.33,2
871,0.11,1.0,3
872,0.157,0.33,2
873,0.155,0.17,1
874,0.224,1.0,3
875,0.512,1.0,3
876,0.348,1.0,3
877,0.159,0.33,2
878,0.158,0.17,1
879,0.207,1.0,1
880,0.043,1.0,1
881,0.042,1.0,1
882,0.11,0.67,3
883,0.211,0.67,3
884,0.355,1.0,1
885,0.343,1.0,1
886,0.086,0.5,1
887,0.114,1.0,1
888,0.086,1.0,1
889,0.113,1.0,1
930,0.349,1.0,3
931,0.151,0.33,2
932,0.151,0.17,1
933,0.503,1.0,3
934,0.14,1.0,3
935,0.119,1.0,3
936,0.152,0.17,1
937,0.152,0.33,2
938,0.341,1.0,3
939,0.157,0.33,2
940,0.155,0.17,1
941,0.493,1.0,3
942,0.142,1.0,3
943,0.093,1.0,3
944,0.159,0.33,2
945,0.158,0.17,1
946,0.203,1.0,3
947,0.062,1.0,1
948,0.061,1.0,1
949,0.035,1.0,1
950,0.14,1.0,3
951,0.151,0.33,2
952,0.151,0.17,1
953,0.511,1.0,3
954,0.078,1.0,3
955,0.04,1.0,3
956,0.152,0.17,1
957,0.152,0.33,2
958,0.346,1.0,3
959,0.157,0.33,2
960,0.155,0.17,1
961,0.503,1.0,3
962,0.28,1.0,3
963,0.117,1.0,3
964,0.159,0.33,2
965,0.158,0.17,1
966,0.039,1.0,1
967,0.102,1.0,1
968,0.102,1.0,1
969,0.192,1.0,1
970,0.188,0.33,1
971,0.179,0.5,1
972,0.187,1.0,1
973,0.14,1.0,1
974,0.138,0.5,1
975,0.118,0.5,1
976,0.119,1.0,1
977,0.36,0.33,1
978,0.365,1.0,1
979,0.095,1.0,3
980,0.151,0.33,2
981,0.151,0.17,1
982,0.249,1.0,3
983,0.177,1.0,3
984,0.231,1.0,3
985,0.152,0.17,1
986,0.152,0.33,2
