Link_ID in VISSIM,Starting node ID,Ending node ID
1,1,2
2,3,4
3,5,6
4,42,7
5,8,9
6,10,11
7,12,13
8,14,15
9,16,17
10,18,19
11,122,20
12,21,22
13,23,24
14,25,26
15,27,28
16,29,30
17,31,32
18,33,34
19,35,36
20,37,38
21,39,40
22,41,42
23,43,44
24,45,46
25,47,48
26,49,50
27,152,51
28,52,53
29,54,55
30,56,57
37,36,58
38,59,60
39,61,62
40,95,63
41,64,65
42,66,67
43,68,69
44,70,71
45,72,73
46,74,75
47,76,77
48,78,79
49,80,81
50,82,83
53,84,85
54,86,87
55,88,89
56,90,91
57,92,93
58,94,95
59,96,97
60,98,99
61,100,101
62,102,103
63,198,104
64,105,106
77,107,108
78,109,110
79,111,112
80,147,113
81,114,115
82,116,117
83,118,119
84,22,120
85,121,122
86,123,124
87,219,125
88,126,127
89,128,129
90,130,131
91,132,133
92,134,135
93,136,137
94,138,139
95,140,141
96,142,143
97,144,145
98,146,147
99,148,149
100,53,150
101,151,152
102,153,154
103,249,155
104,156,157
113,141,158
114,159,160
115,161,162
116,193,163
117,164,165
118,166,167
119,168,169
120,79,170
121,171,172
122,173,174
123,273,175
124,176,177
125,178,179
126,180,181
129,182,183
130,184,185
131,186,187
132,188,189
133,190,191
134,192,193
135,194,195
136,106,196
137,197,198
138,199,200
139,300,201
140,202,203
163,204,205
164,206,207
165,208,209
166,244,210
167,211,212
168,213,214
169,215,216
170,127,217
171,218,219
172,220,221
173,321,222
174,223,224
175,225,226
176,227,228
177,229,230
178,231,232
179,233,234
180,235,236
181,237,238
182,239,240
183,241,242
184,243,244
185,245,246
186,157,247
187,248,249
188,250,251
189,352,252
190,253,254
191,255,256
192,257,258
199,238,259
200,260,261
201,262,263
202,295,264
203,265,266
204,267,268
205,269,270
206,177,271
207,272,273
208,274,275
209,276,277
210,278,279
211,280,281
212,282,283
215,284,285
216,286,287
217,288,289
218,290,291
219,292,293
220,294,295
221,296,297
222,203,298
223,299,300
224,301,302
225,400,303
226,304,305
239,306,307
240,308,309
241,310,311
242,347,312
243,313,314
244,315,316
245,317,318
246,224,319
247,320,321
248,322,323
249,324,325
250,326,327
251,328,329
252,330,331
253,332,333
254,334,335
255,336,337
256,338,339
257,340,341
258,342,343
259,344,345
260,346,347
261,348,349
262,254,350
263,351,352
264,353,354
265,355,356
266,357,358
275,341,359
276,360,361
277,362,363
278,395,364
279,365,366
280,367,368
281,369,370
282,279,371
283,372,373
284,374,375
285,376,377
286,378,379
287,380,381
288,382,383
291,384,385
292,386,387
293,388,389
294,390,391
295,392,393
296,394,395
297,396,397
298,305,398
299,399,400
300,401,402
301,403,404
302,405,406
10000,2,3
10001,7,8
10002,15,12
10003,20,18
10004,4,5
10005,4,21
10006,4,16
10007,19,16
10008,13,21
10009,13,10
10010,13,5
10011,9,10
10012,9,16
10013,9,21
10014,19,5
10015,19,10
10016,32,33
10017,38,39
10018,46,43
10019,51,49
10020,34,35
10021,34,52
10022,34,47
10023,50,47
10024,44,52
10025,44,41
10026,44,35
10027,40,41
10028,40,47
10029,40,52
10030,50,35
10031,50,41
10033,6,31
10034,6,25
10035,24,31
10036,58,59
10037,63,64
10038,71,68
10039,77,74
10040,60,61
10041,60,78
10042,60,72
10043,75,72
10044,69,78
10045,69,66
10046,69,61
10047,65,66
10048,65,72
10049,65,78
10050,75,61
10051,75,66
10052,85,86
10053,91,92
10054,99,96
10055,104,102
10056,87,88
10057,87,105
10058,87,100
10059,103,100
10060,97,105
10061,97,94
10062,97,88
10063,93,94
10064,93,100
10065,93,105
10066,103,88
10067,103,94
10069,62,84
10070,62,82
10071,81,84
10072,67,37
10074,30,37
10075,67,27
10076,108,109
10077,113,114
10078,120,118
10079,125,123
10080,110,111
10081,110,126
10082,110,121
10083,124,121
10084,119,126
10085,119,116
10086,119,111
10087,115,116
10088,115,121
10089,115,126
10090,124,111
10091,124,116
10092,137,138
10093,143,144
10094,150,148
10095,155,153
10096,139,140
10097,139,156
10098,139,151
10099,154,151
10100,149,156
10101,149,146
10102,149,140
10103,145,146
10104,145,151
10105,145,156
10106,154,140
10107,154,146
10109,112,136
10110,112,130
10111,129,136
10112,158,159
10113,163,164
10114,170,168
10115,175,173
10116,160,161
10117,160,176
10118,160,171
10119,174,171
10120,169,176
10121,169,166
10122,169,161
10123,165,166
10124,165,171
10125,165,176
10126,174,161
10127,174,166
10128,183,184
10129,189,190
10130,196,194
10131,201,199
10132,185,186
10133,185,202
10134,185,197
10135,200,197
10136,195,202
10137,195,192
10138,195,186
10139,191,192
10140,191,197
10141,191,202
10142,200,186
10143,200,192
10145,162,182
10146,162,180
10147,179,182
10148,167,142
10150,135,142
10151,167,132
10157,172,76
10160,172,56
10161,55,76
10162,205,206
10163,210,211
10164,217,215
10165,222,220
10166,207,208
10167,207,223
10168,207,218
10169,221,218
10170,216,223
10171,216,213
10172,216,208
10173,212,213
10174,212,218
10175,212,223
10176,221,208
10177,221,213
10178,234,235
10179,240,241
10180,247,245
10181,252,250
10182,236,237
10183,236,253
10184,236,248
10185,251,248
10186,246,253
10187,246,243
10188,246,237
10189,242,243
10190,242,248
10191,242,253
10192,251,237
10193,251,243
10195,209,233
10196,209,227
10197,226,233
10198,259,260
10199,264,265
10200,271,269
10201,277,274
10202,261,262
10203,261,278
10204,261,272
10205,275,272
10206,270,278
10207,270,267
10208,270,262
10209,266,267
10210,266,272
10211,266,278
10212,275,262
10213,275,267
10214,285,286
10215,291,292
10216,298,296
10217,303,301
10218,287,288
10219,287,304
10220,287,299
10221,302,299
10222,297,304
10223,297,294
10224,297,288
10225,293,294
10226,293,299
10227,293,304
10228,302,288
10229,302,294
10231,263,284
10232,263,282
10233,281,284
10234,268,239
10236,232,239
10237,268,229
10238,307,308
10239,312,313
10240,319,317
10241,325,322
10242,309,310
10243,309,326
10244,309,320
10245,323,320
10246,318,326
10247,318,315
10248,318,310
10249,314,315
10250,314,320
10251,314,326
10252,323,310
10253,323,315
10254,337,338
10255,343,344
10256,350,348
10257,356,353
10258,339,340
10259,339,357
10260,339,351
10261,354,351
10262,349,357
10263,349,346
10264,349,340
10265,345,346
10266,345,351
10267,345,357
10268,354,340
10269,354,346
10271,311,336
10272,311,330
10273,329,336
10274,359,360
10275,364,365
10276,371,369
10277,377,374
10278,361,362
10279,361,378
10280,361,372
10281,375,372
10282,370,378
10283,370,367
10284,370,362
